packet_id,send_time_s,recv_time_s,latency_s,expected_id,lost
231,52.432,0.09225702285766602,-52.339742977142336,231,False
232,52.632,0.1921708583831787,-52.43982914161682,232,False
233,52.832,0.29198575019836426,-52.54001424980164,233,False
234,53.032,0.393521785736084,-52.63847821426391,234,False
235,53.232,0.4923217296600342,-52.739678270339965,235,False
236,53.432,0.5921978950500488,-52.83980210494995,236,False
237,53.632,0.692556619644165,-52.93944338035583,237,False
238,53.832,0.792346715927124,-53.03965328407288,238,False
239,54.032,0.892157793045044,-53.13984220695495,239,False
240,54.232,0.992628812789917,-53.23937118721008,240,False
241,54.432,1.0922057628631592,-53.33979423713684,241,False
242,54.632,1.1923656463623047,-53.43963435363769,242,False
243,54.832,1.2927448749542236,-53.53925512504578,243,False
244,55.032,1.3920538425445557,-53.63994615745544,244,False
245,55.232,1.492818832397461,-53.73918116760254,245,False
246,55.432,1.595754861831665,-53.83624513816834,246,False
247,55.632,1.6993637084960938,-53.932636291503904,247,False
248,55.832,1.796123743057251,-54.03587625694275,248,False
249,56.032,1.892601728439331,-54.139398271560665,249,False
250,56.232,1.9920837879180908,-54.23991621208191,250,False
251,56.432,2.092334747314453,-54.33966525268555,251,False
252,56.632,2.192568778991699,-54.4394312210083,252,False
253,56.832,2.2920877933502197,-54.53991220664978,253,False
254,57.032,2.3917880058288574,-54.64021199417114,254,False
255,57.232,2.492701768875122,-54.73929823112488,255,False
256,57.432,2.5919606685638428,-54.84003933143616,256,False
257,57.632,2.6947567462921143,-54.937243253707884,257,False
258,57.832,2.7918379306793213,-55.04016206932068,258,False
259,58.032,2.8920297622680664,-55.13997023773193,259,False
260,58.232,2.9920358657836914,-55.23996413421631,260,False
261,58.432,3.094540596008301,-55.3374594039917,261,False
262,58.632,3.1923987865448,-55.4396012134552,262,False
263,58.832,3.292562961578369,-55.53943703842163,263,False
264,59.032,3.403420925140381,-55.628579074859616,264,False
265,59.232,3.4976377487182617,-55.73436225128174,265,False
266,59.432,3.595491647720337,-55.836508352279665,266,False
267,59.632,3.692161798477173,-55.939838201522825,267,False
268,59.832,3.791968822479248,-56.04003117752075,268,False
269,60.032,3.891979694366455,-56.14002030563354,269,False
270,60.232,3.9924769401550293,-56.23952305984497,270,False
271,60.432,4.092084884643555,-56.33991511535645,271,False
272,60.632,4.192042827606201,-56.4399571723938,272,False
273,60.832,4.291805744171143,-56.54019425582886,273,False
274,61.032,4.392070770263672,-56.639929229736325,274,False
275,61.232,4.492513656616211,-56.73948634338379,275,False
276,61.432,4.591709852218628,-56.840290147781374,276,False
277,61.632,4.692176818847656,-56.93982318115234,277,False
278,61.832,4.792100667953491,-57.03989933204651,278,False
279,62.032,4.892381906509399,-57.1396180934906,279,False
280,62.232,4.992098808288574,-57.239901191711425,280,False
281,62.432,5.0929930210113525,-57.33900697898865,281,False
282,62.632,5.192981958389282,-57.439018041610716,282,False
283,62.832,5.292160987854004,-57.539839012146,283,False
284,63.032,5.398130893707275,-57.63386910629272,284,False
285,63.232,5.493644714355469,-57.73835528564453,285,False
286,63.432,5.593826770782471,-57.83817322921753,286,False
287,63.632,5.692054748535156,-57.93994525146484,287,False
288,63.832,5.793799877166748,-58.03820012283325,288,False
289,64.032,5.893903732299805,-58.13809626770019,289,False
290,64.232,5.9978508949279785,-58.23414910507202,290,False
291,64.432,6.100024700164795,-58.33197529983521,291,False
292,64.632,6.201750040054321,-58.430249959945684,292,False
293,64.832,6.314570903778076,-58.51742909622192,293,False
294,65.032,6.392536640167236,-58.63946335983276,294,False
295,65.232,6.51204776763916,-58.71995223236084,295,False
296,65.432,6.591866731643677,-58.840133268356325,296,False
297,65.632,6.692171573638916,-58.93982842636109,297,False
298,65.832,6.792161703109741,-59.03983829689025,298,False
299,66.032,6.891930818557739,-59.14006918144226,299,False
300,66.232,7.000068664550781,-59.23193133544922,300,False
301,66.432,7.092764854431152,-59.33923514556885,301,False
302,66.632,7.1921226978302,-59.439877302169805,302,False
303,66.832,7.292136907577515,-59.53986309242248,303,False
304,67.032,7.392132759094238,-59.63986724090576,304,False
305,67.232,7.492015838623047,-59.73998416137695,305,False
